iter	TotalF1	MultiClass
268	0.9069442883	0.6319807775
269	0.9069442883	0.6307348573
270	0.9099795686	0.6298953606
271	0.9099795686	0.6289513551
272	0.9069442883	0.6280108795
273	0.9099795686	0.6268633912
274	0.9159455346	0.6255433468
275	0.9099795686	0.6247087007
276	0.9129315132	0.6231806801
277	0.9159455346	0.6225757996
278	0.9159455346	0.6214208261
279	0.9159455346	0.6205715776
280	0.9159455346	0.6191772636
281	0.9189413439	0.6179527135
282	0.9159455346	0.6168422279
283	0.9189413439	0.6158624366
284	0.9189413439	0.6150127282
285	0.9219343524	0.6134816758
286	0.9219343524	0.6123178952
287	0.9219343524	0.6103958798
288	0.9189189189	0.6096696473
289	0.9219343524	0.6087784258
290	0.9219343524	0.6078181475
291	0.9219343524	0.6065303744
292	0.9219343524	0.6053312426
293	0.9219343524	0.6046533902
294	0.918917883	0.6035991756
295	0.9189413439	0.6024045271
296	0.9219546902	0.6013274751
297	0.9189413439	0.6008153822
298	0.9219546902	0.5996918414
299	0.9159260769	0.5984852475
300	0.9219343524	0.5973651981
301	0.918917883	0.595973562
302	0.9189413439	0.5950895946
303	0.9219343524	0.5939629017
304	0.9219413803	0.5928604411
305	0.9219413803	0.591861749
306	0.9219413803	0.590880816
307	0.9219413803	0.5899526501
308	0.9219413803	0.5893210632
309	0.9219413803	0.588562082
310	0.9219413803	0.5879345498
311	0.9189413439	0.5871926714
312	0.9219413803	0.5866442277
313	0.9219413803	0.5859979193
314	0.9219413803	0.5852591852
315	0.9189413439	0.5844567545
316	0.9189413439	0.5835441826
317	0.9219413803	0.5824016893
318	0.9219413803	0.5816052653
319	0.9219413803	0.5809564132
320	0.9219413803	0.580126102
321	0.9219413803	0.5795721871
322	0.9249354532	0.5784698432
323	0.9249354532	0.5777068486
324	0.9219413803	0.5765788525
325	0.9279508405	0.5756539963
326	0.9279508405	0.5742491528
327	0.9279508405	0.5730755505
328	0.9279508405	0.5722460265
329	0.9279508405	0.5715242171
330	0.9309512474	0.5707244175
331	0.9309512474	0.5696805214
332	0.9309512474	0.5689239846
333	0.9279508405	0.5677422015
334	0.9309627436	0.5673326948
335	0.9339760989	0.5661253455
336	0.9339760989	0.5649474404
337	0.9339760989	0.5640858566
338	0.9339760989	0.5635329181
339	0.9339760989	0.5626353102
340	0.9339760989	0.5618029143
341	0.9339760989	0.5612415713
342	0.9339760989	0.5610217559
343	0.9339760989	0.5597106946
344	0.9339760989	0.5588786744
345	0.9339760989	0.5579343821
346	0.9339760989	0.5565351542
347	0.9369764341	0.5556954998
348	0.9369764341	0.5547328322
349	0.9369764341	0.5538804594
350	0.9399728496	0.553086562
351	0.9429728704	0.5520992871
352	0.9399728496	0.5515645527
353	0.9399728496	0.5507504092
354	0.9399728496	0.5498065137
355	0.9429728704	0.5491824324
356	0.9399728496	0.5479258094
357	0.9399728496	0.5472118718
358	0.9399728496	0.5459056167
359	0.9399728496	0.545083303
360	0.9399728496	0.5442756598
361	0.9430047077	0.5434174324
362	0.9430047077	0.542376787
363	0.9429728704	0.5418027235
364	0.9430047077	0.5412963709
365	0.9460176991	0.5405225931
366	0.9460176991	0.5397247056
